,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41
Item_1,1.0,0.5097625059954215,0.5422641618871173,0.5244759082859747,0.13488089361760183,0.1357345886271903,0.11313387988518749,0.11945900555304503,0.5098231113486742,0.15814998226573904,0.08070451736083316,0.06700206408860958,0.06699038495972273,0.08124194333556167,0.06087987482244921,0.09567737724446675,0.08550891869663577,0.14118343463985256,0.1013127960184594,0.09190895313195306,0.5126770435790259,0.5308243800013143,0.0933214529579745,0.12014870094366292,0.5089965399381072,0.5585723144406303,0.08698305009771387,0.5144427631409245,0.5237704840270226,0.551688314073184,0.5711828855043857,0.5235462897094691,0.5481894578881202,0.5374136390631223,0.559813847369073,0.5234972334077569,0.5596381427732217,0.534964644708857,0.5465816537350416,0.5247808948841819,0.5839073353597383
Item_2,0.5097625059954215,1.0,0.5932948924843615,0.6154199071174722,0.14664283934442893,0.17602392537022235,0.08030210065837629,0.11296056934575044,0.5667125205975716,0.16067460205878148,0.02959163343706132,0.009668075582043465,0.04312251977987976,0.06403583070522353,0.025011139385177933,0.05481361834813621,0.04872522784385735,0.09088148182024706,0.05089792460907245,0.08759651929481668,0.5449744573935142,0.5479355781176257,0.034593270413168904,0.04664102207453863,0.5900027897626366,0.5434993070566873,0.11667503472738854,0.5378515185843232,0.5356697178817711,0.5822947630494137,0.5773588398244625,0.568977213110606,0.5773340892554759,0.5735809624466118,0.5954266424638857,0.5635417867950668,0.5887228230636562,0.5972069522510692,0.5863791065332542,0.5845482120736066,0.5939634483302919
Item_3,0.5422641618871173,0.5932948924843615,1.0,0.514281423686818,0.1167233876249863,0.09787865380348323,0.12080981421477775,0.0756917734362439,0.5408973088060401,0.11609181138524577,0.04935907203440326,0.0634213145084821,0.017293957381183295,0.08414868071149029,0.0722958532540571,0.10427341379418457,0.12111305950133054,0.09663262988113379,0.038142225705380575,0.022838682740081086,0.559762848696041,0.5561568230739966,0.08615257348095338,0.08274798612892058,0.5560190936742299,0.5152646272582192,0.1193966037112367,0.5975718816387016,0.5311091455876585,0.5576767290796879,0.5990587805831854,0.5543413679951459,0.5721236814855296,0.567371785120354,0.5449389630288176,0.5509216026669956,0.5718749224128866,0.5660657679561024,0.5466673441581442,0.5706486564395582,0.5758340371289219
Item_4,0.5244759082859747,0.6154199071174722,0.514281423686818,1.0,0.1646178489886856,0.14271933108906612,0.10666301850487335,0.10580458539754398,0.5612344864280102,0.15489528631285923,0.06429515431833403,0.04050960144498587,0.03350060494800684,0.10365695657775388,0.043139870451075604,0.07703012966175134,0.04925761557564242,0.07822055455905186,0.10511404573212557,0.11427921697089168,0.5541049218837849,0.5594822102814937,0.06404507446375234,0.07389674975105165,0.5684785520484426,0.5807979999199873,0.13565388059647898,0.5424188660958568,0.5414111852329284,0.5939511076740972,0.5540098160244908,0.5498341205353826,0.5668355894397157,0.5571817817735112,0.5408497438119403,0.5417301889606218,0.5488312578977925,0.5447922034250415,0.5507822715814735,0.5435749656703311,0.5858516736461862
Item_5,0.13488089361760183,0.14664283934442893,0.1167233876249863,0.1646178489886856,1.0,0.5814281541835954,0.5165867235995913,0.5327503832975873,0.1283435445850729,0.5239899673666645,0.558689122399126,0.050561211741687095,0.06973328135309263,0.10873261333798775,0.018568642514750062,0.08431582657393248,0.033165510098258716,0.08655173533757862,0.4926451675979755,0.5471477901870652,0.09252489400954646,0.1444798797057834,0.05463030444880906,0.08528785110526635,0.12112909737174092,0.07797238519546848,0.51037180121804,0.1482048261649019,0.1618660997050264,0.035064800097440944,0.08696438753877589,0.14696726612096994,0.11542305026819312,0.1329073404756987,0.13401185229063786,0.11463789721699455,0.1427227203948941,0.17601874743977702,0.15813727921796308,0.1434367880552466,0.13416836681109767
Item_6,0.1357345886271903,0.17602392537022235,0.09787865380348323,0.14271933108906612,0.5814281541835954,1.0,0.5722785248110913,0.5602294791409002,0.11203983486450382,0.5765676717724443,0.5507578389967712,0.10444877908525,0.06461988221517374,0.09318975417247033,0.07252966105594788,0.09526164797321586,0.07460237696267408,0.10797839730318472,0.5119185607492749,0.5474098717842927,0.10291922043986505,0.11783870465563175,0.10543706295552337,0.08909010159328869,0.1256110960469089,0.11868132572528525,0.5026173365204167,0.14137596484582643,0.12361620097244949,0.11813348638403615,0.09751973568044359,0.17223351538188764,0.1395004580010954,0.12307233640507274,0.15440820689695414,0.15292052967962005,0.1378307444128205,0.17683867934201503,0.1621900559222621,0.10955585401574836,0.10615252512193017
Item_7,0.11313387988518749,0.08030210065837629,0.12080981421477775,0.10666301850487335,0.5165867235995913,0.5722785248110913,1.0,0.5677673016072013,0.03852204833254359,0.6115252475748699,0.5772963628486556,0.08641718020367165,0.10034848284875701,0.11385180344099877,0.04936951892628137,0.13439057009394306,0.09362966854736719,0.12048828307890988,0.5641213135167868,0.5997229370476874,0.045757629640683625,0.1049595153914853,0.09676844493528697,0.1412873296756225,0.07379926535300897,0.05626862099231033,0.5548348837848119,0.05417666573033721,0.09688294944752537,0.03655575713701327,0.11689099666142853,0.11192181482897008,0.09956685275804245,0.1313272839990538,0.08407692816870733,0.1387262025908132,0.13390864637377384,0.15572733837603076,0.14068338717208517,0.10107613276718144,0.08315283521829021
Item_8,0.11945900555304503,0.11296056934575044,0.0756917734362439,0.10580458539754398,0.5327503832975873,0.5602294791409002,0.5677673016072013,1.0,0.11271076237208864,0.6042736554644509,0.5782009622899072,0.10928884456504667,0.11400337443877162,0.12129046353665113,0.08667751120771808,0.07623985485464707,0.06793942239951413,0.12997127294714259,0.5507675963245554,0.5588223973893482,0.11014281627481882,0.12320916026103747,0.10211592517099237,0.12193750445437701,0.09285094463176284,0.09308672169349128,0.5726601557737228,0.09006076563124993,0.11516104605990712,0.0670233312124098,0.07440167948199058,0.1112591398766333,0.12536226202696432,0.11604140801761259,0.11140410344643804,0.09582460826058198,0.1240773696280418,0.16297638894085065,0.17394785609681016,0.0585352973472894,0.09311921274748196
Item_9,0.5098231113486742,0.5667125205975716,0.5408973088060401,0.5612344864280102,0.1283435445850729,0.11203983486450382,0.03852204833254359,0.11271076237208864,1.0,0.11225032929764947,0.01935753164649584,0.03384907032447831,0.040374827620281925,0.07284019238448108,0.061788130065334124,0.047916243739842844,0.06404306186087134,0.1030754897132048,0.06913635537336861,0.024159901409588073,0.5375094952363687,0.5281839759991975,0.04847049339882202,0.051205228060037224,0.5349112512804742,0.5553312043137483,0.04999809748781166,0.5518743716898893,0.5103343512933234,0.5557140415045477,0.5583413206026807,0.5334226549930925,0.5513354696541233,0.5456471231124403,0.5708506163702145,0.5465139055502254,0.5569399424622338,0.517229158893508,0.5486421811802766,0.5508883220851444,0.5515053810351314
Item_10,0.15814998226573904,0.16067460205878148,0.11609181138524577,0.15489528631285923,0.5239899673666645,0.5765676717724443,0.6115252475748699,0.6042736554644509,0.11225032929764947,1.0,0.5745394096126513,0.06810470124860671,0.12335431799892466,0.11606541182916917,0.04477925572167568,0.10709821849919658,0.07348208473898889,0.12921439629327813,0.5603464263691815,0.5557591876230328,0.09584425183736756,0.1285497963082941,0.062354262733847685,0.11027157891878735,0.129724897769217,0.12819108717579436,0.5738898933039464,0.13257216437050323,0.1695403305104735,0.0981979796853274,0.11676233967217463,0.1720357951157641,0.13538715278566385,0.15360213954999274,0.15575485697745586,0.16436238660154975,0.21526853905326163,0.17982532066620227,0.16126864202552138,0.13534221685672523,0.13788860688081112
